Nro,Fosfatasa,Glucosidasa ,Respirometria ,MBC,MBP,pH ,CE,Maceta,Mes ,Tratamiento
1,121.84,61.7,5.81,339.76,5.88,6.89,149.1,1C,Enero,CBt
2,147.39,60.27,7.06,566.21,3.88,6.99,183.7,2C,Enero,CBt
3,136.36,62.31,4.26,346.47,1.11,6.92,224.7,3C,Enero,CBt
4,130.93,59.63,6.03,289.7,0.79,6.96,172.5,4C,Enero,CBt
5,137.6,64.34,8.41,164.97,0.14,6.88,217,5C,Enero,CBt
6,164.45,65.22,6.06,449.49,18.05,7.05,131.6,6C,Enero,CBt
7,134.71,72.14,5.59,385.6,3.41,6.95,202.3,7C,Enero,CBt
8,182.34,60.99,5.72,610.94,5.51,7.18,135.9,1S,Enero,SBt
9,132.05,79.76,5.19,470.65,4,6.9,239,2S,Enero,SBt
10,135.81,60.71,5.26,256.76,1.1,6.97,153.2,3S,Enero,SBt
11,109.56,56.78,5.47,315.23,1.56,6.98,146.9,4S,Enero,SBt
12,153.41,61.99,3.42,384.81,5.99,6.89,246,5S,Enero,SBt
13,138.81,67.89,4.01,669.02,1.07,6.95,131.4,6S,Enero,SBt
14,178.91,71.83,5.83,636.02,7.5,6.97,117.3,7S,Enero,SBt
15,113.81,78.17,5.89,527.8,0.24,6.7,157.9,1C,Febrero,CBt
16,132.12,65.07,5.67,238.2,9.73,6.45,198.8,2C,Febrero,CBt
17,162.97,79.96,6.22,284.93,8.92,6.5,159.8,3C,Febrero,CBt
18,114.75,64.77,7.64,389.06,6.71,6.65,162.5,4C,Febrero,CBt
19,112.44,52.74,7.1,404.9,1.12,6.41,171.1,5C,Febrero,CBt
20,117.53,55.35,8.59,14.85,0.23,6.56,144.1,6C,Febrero,CBt
21,123.84,54.06,5.62,593.91,0.39,6.46,162.1,7C,Febrero,CBt
22,112.45,57.07,5.74,227.21,2.04,6.71,180.9,1S,Febrero,SBt
23,118.78,48.17,6.65,373.09,6.67,6.57,170.7,2S,Febrero,SBt
24,167.26,54.79,5.41,329.06,6.26,6.6,230,3S,Febrero,SBt
25,135.39,71.28,6.68,968.62,5.03,6.72,124.8,4S,Febrero,SBt
26,139.52,57.96,6.73,458.43,2.11,6.7,166.1,5S,Febrero,SBt
27,96.45,43.65,6.7,483.59,8.12,6.55,158.2,6S,Febrero,SBt
28,103.48,47.93,8.08,590.85,1.24,6.8,149.5,7S,Febrero,SBt
29,136.16,76.37,4.77,461.14,4.56,6.79,162.1,1C,Marzo,CBt
30,112.16,70.14,4.83,393.62,3.95,6.78,190.7,2C,Marzo,CBt
31,103.91,69.06,4.98,182.05,4.31,6.84,168.9,3C,Marzo,CBt
32,145.86,65.38,5.52,227.96,6.04,7.05,148.3,4C,Marzo,CBt
33,97.09,71.75,5.39,449.35,2.44,6.84,173.2,5C,Marzo,CBt
34,140.16,64.08,6.78,170.88,0.36,6.92,166.7,6C,Marzo,CBt
35,179.83,61.63,3.92,250.8,1.53,6.81,166.8,7C,Marzo,CBt
36,110.14,86.15,5.99,42.63,1.98,6.79,165,1S,Marzo,SBt
37,98.84,59.76,5.64,91.33,1.2,6.86,155,2S,Marzo,SBt
38,124.31,66.04,6.08,279.03,1.05,6.97,137.2,3S,Marzo,SBt
39,129.84,59.7,5.81,427.72,1.6,6.94,129.9,4S,Marzo,SBt
40,177.22,60.56,5.02,292.25,1.46,6.86,142.8,5S,Marzo,SBt
41,89.24,66.11,6.73,648.12,1.43,6.98,150,6S,Marzo,SBt
42,121.98,61.38,4.52,119.68,5.41,6.91,141.7,7S,Marzo,SBt
43,155.13,109.06,5.68,179.38,10.94,7.07,226.3,1C,Abril,CBt
44,157.18,106.23,5.23,474.67,10.04,7.02,184.4,2C,Abril,CBt
45,133.15,112.91,6.14,901.49,11.12,7.09,178.5,3C,Abril,CBt
46,204.05,111.73,6.15,1239.5,8.65,7.12,166.2,4C,Abril,CBt
47,162.31,107.52,5.93,196.36,8.95,7.08,163,5C,Abril,CBt
48,145.61,123.18,6.36,999.32,6.4,7.19,159.1,6C,Abril,CBt
49,159.66,116.8,5.54,835.01,5.91,7.17,237,7C,Abril,CBt
50,120.23,104.01,5.25,242.16,2.66,7.14,187.5,1S,Abril,SBt
51,142.89,110.18,6.07,669.27,7.56,6.94,176.2,2S,Abril,SBt
52,140.44,100.62,6.24,871.96,2.4,7.1,167.6,3S,Abril,SBt
53,114.83,109.66,6.68,150.58,5.79,7.06,142.9,4S,Abril,SBt
54,141.54,98.41,6.15,1.8,8.43,7.14,169.2,5S,Abril,SBt
55,129.29,103.96,7.39,339.81,4.08,7.19,151.5,6S,Abril,SBt
56,139.29,110.26,6.22,187.79,7.85,7.26,142.7,7S,Abril,SBt
57,127.4,36.97,3.07,845.5,0.94,6.92,210.6,1C,Mayo,CBt
58,110.04,26.58,3.2,311.37,3.34,6.85,206.7,2C,Mayo,CBt
59,125.67,31.36,3.66,198.46,2.21,7.01,215.7,3C,Mayo,CBt
60,112.62,33.98,2.92,593.7,0.73,7.03,188.5,4C,Mayo,CBt
61,103.34,31.62,5.02,266.33,2.61,6.94,223,5C,Mayo,CBt
62,82.89,34.01,1.94,188.27,3.5,7.26,172.4,6C,Mayo,CBt
63,113.33,29.78,4.78,225.12,1.31,6.9,245,7C,Mayo,CBt
64,131.43,22.73,5.55,839.81,9.93,6.76,267.3,1S,Mayo,SBt
65,141.98,19.02,3.54,639.32,7.31,6.98,142.3,2S,Mayo,SBt
66,110.54,24.87,3.49,740.91,3.03,7.07,142,3S,Mayo,SBt
67,96.64,22.97,4.87,320.97,0.43,6.88,132.3,4S,Mayo,SBt
68,96.54,22.68,3.3,125.87,2.16,6.93,180.3,5S,Mayo,SBt
69,138.01,23.64,3.78,685.45,3.19,6.86,193,6S,Mayo,SBt
70,143.94,22.49,3.67,759.79,1.5,6.79,180.7,7S,Mayo,SBt
